name	tags	description	state
clipso	tool,cli,core	clipboard universal OSC52+xclip+pbcopy	active
nina	tool,net,core	device alias manager for multi-machine setups	active
maid-chan	tool,cli,core	trash and zsh history manager	active
nvim-setup	cfg,core	neovim setup and config installer	active
zsh-setup	cfg,core	zsh setup + macOS bootstrap (--mac: Nix/deps/PATH/clipboard)	active
mitsuwiki	tool,web,core	personal offline SPA wiki	active
minitools	util,core	small consolidated utility scripts	active
aicli	tool,cli	AI CLI tool	active
audit-privacy	sec,core	privacy audit tool	active
wlab	tool	workbench and lab repo	active
neko	tool	neko project	active
streaming	svc	streaming setup	active
rsync-folder	util	rsync wrapper	active
sftp-folder	util	sftp wrapper	active
qemu-debian-mac	infra	QEMU Debian on Mac setup	active
persistent-container-podman	infra	persistent podman containers	active
spfx-tool	tool	SPFx SharePoint development tool	active
wifi-setup	infra,net	RTL wifi driver setup and deploy	active
miko	tool,core	task manager + ctx owner	active
prestamos-lc	client	Go+Redis+pgbouncer loan system LC version	active
supbot-cli	client,bot,core	Node.js WhatsApp CLI -- send, inbox, contacts	active
correccionLatex	client,arc	LaTeX university stats assignment correction -- closed	archived
aliceboard	tool,android	Android keyboard (Unexpected Keyboard base, GPL-3) with single-finger shell/SSH layout	active
hotspot	tool,net	hotspot manager via nmcli (anita/up/down/status/remove)	active
deadd-setup	cfg,tool	deadd notification center config + scripts	active
ppoint-tool	tool,cli,core	Presentation engine: Markdown+Frontmatter to PPTX/PDF/HTML	active
RoomBookingDashboard	client,web	SPFx room reservation dashboard for client tenant	active
mkit	tool,cli,core	LLM file ops toolkit -- anchor/write/patch/verify CLI	active
miau-dio	audio,core	CLI modular para sintesis y gestion de ideas musicales	active
ecosystem-spec	docs	especificacion tecnica del ecosistema unix-toolkit	active
BaquiaRaudal	client,web	Multi-tenant business OS (NestJS+Next.js+Neon) -- MVP: plant inventory catalog	active
es3c28p-firmware	firmware,esp32,embedded,audio,display,ble,es3c28p	Professional C firmware for ES3C28P (ESP32-S3) board using ESP-IDF 5.5	active
report-studio	core,tool,docs	sistema documental estandar para reportes institucionales de cualquier tipo/tema/asociacion	active
biblio-convocat	client,docs,rpx-report	convocatoria biblioteca municipal cultura llanera	active
ut	core,tool	self-hosted repo manager and dev toolkit root	active
anydesk-install	uncat	uncatalogued -- pending review	active
catwilo	uncat,core	uncatalogued -- pending review	active
lucituris	docs,client,rpx-report	reporte rpx	active
asamtefur-registro	app,react-native	App React Native para registro de jornadas de trabajo en el predio de ASAMTEFUR	active
prometeia	client	CRM para idea de empresa	active
monetizar-personal	personal	proyectos y tareas para monetizacion personal	active
VocesDelCampo	client	Website cliente para difusión de contenido cultural	active
restaurante-oculto	client	App de reservas para restaurante	active
clubDeLectura	client	club de lectura -- documentacion de cliente, ideas y gestion de biblioteca	active
campana	project,client,multimedia	Arquitectura multimedia, redes sociales y documentacion de proyectos	active
debux	tool,env	minimal graphical Linux environment for web dev from Android
gya	tool	wrapper CLI para gallery-dl + yt-dlp en Termux
hardware-bom	core,infra,rpx-report	Bill of Materials de hardware compartido: BaquiaRaudal + proyecto rack sobre infraestructura multiproposito	active
orcdroid	tool core	Android remoto en Oracle Cloud via Waydroid y Sunshine	active
